pais;codigo_do_pais;nome_do_pais;descricao;loc_cod;UF;RA;ra_desc;RG;rg_desc;RM;rm_desc
840;9800840;Estados Unidos da América;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
850;9800850;Ilhas Virgens;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
854;9800854;Burkina Faso;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
858;9800858;Uruguai;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
860;9800860;Uzbequistão;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
862;9800862;Venezuela;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
876;9800876;Ilhas Wallis e Futuna;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
882;9800882;Samoa;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
887;9800887;Iêmen;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
894;9800894;Zâmbia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
900;1100000;Rondônia;UF Conhecida e Município Ignorado;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100015;Alta Floresta D'Oeste;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100023;Ariquemes;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100031;Cabixi;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100049;Cacoal;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100056;Cerejeiras;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100064;Colorado do Oeste;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100072;Corumbiara;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100080;Costa Marques;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100098;Espigão D'Oeste;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
